target_id	length	eff_length	est_counts	tpm
uc010tmp.1	595	446	0	0
uc001wdb.2	1375	1226	0	0
uc010ajh.1	686	537	0	0
uc010aji.1	915	766	0	0
uc001wdd.2	360721	360572	0	0
uc010ajj.1	398119	397970	0	0
uc001wde.1	424764	424615	0	0
uc010tmq.2	24	24	0	0
uc010ajk.2	400760	400611	0	0
uc001wdg.1	400414	400265	0	0
uc021rpt.1	400414	400265	0	0
uc001wdh.2	582	433	0	0
uc010ajl.1	368898	368749	0	0
uc001wdi.2	587	438	0	0
uc021rpu.1	124	124	0	0
uc010ajm.2	776	627	0	0
uc021rpv.1	311404	311255	0	0
uc001wdk.2	612	463	0	0
uc010ajn.1	605	456	0	0
uc010ajo.1	326632	326483	0	0
uc010ajp.1	322108	321959	0	0
uc021rpw.1	305227	305078	0	0
uc001wdn.3	622	473	0	0
uc021rpx.1	170	21	0	0
uc010tmr.2	213989	213840	4.31181	0.185968
uc010ajq.1	563	414	0.991652	22.0916
uc001wdq.2	459	310	0	0
uc001wdr.2	555	406	0	0
uc001wdu.2	562	413	0	0
uc001wdv.4	129626	129477	0	0
uc001wdw.2	7594	7445	0	0
uc001wdx.4	15832	15683	0	0
uc010ajs.1	7958	7809	0	0
uc001wdz.4	7266	7117	0	0
uc010tms.2	8153	8004	0	0
uc010ajt.3	4741	4592	0	0
uc010aju.1	5548	5399	0	0
uc001wea.4	6824	6675	0	0
uc001wec.3	78798	78649	0	0
uc001wed.1	1569	1420	0	0
uc001wee.4	73237	73088	0	0
uc021rpy.1	58	58	0	0
uc010tmt.1	68202	68053	0	0
uc010ajv.1	65443	65294	0	0
uc001weg.2	68325	68176	0	0
uc001weh.1	33370	33221	0	0
uc001wei.3	65884	65735	0	0
uc001wej.3	63516	63367	0	0
uc001wek.3	62821	62672	0	0
uc001wel.3	62624	62475	0	0
uc001wem.4	61619	61470	0	0
uc001wen.2	54882	54733	0	0
uc001weo.2	56700	56551	0	0
uc010ajw.2	65	65	0	0
uc001wep.3	57287	57138	0	0
uc001weq.3	56202	56053	0	0
uc021rpz.1	66	66	0	0
uc021rqa.1	50847	50698	0	0
uc021rqb.1	55214	55065	0	0
uc001wet.3	52964	52815	0	0
uc021rqc.1	64	64	0	0
uc001weu.3	52422	52273	0	0
uc021rqd.1	112	112	0	0
uc001wev.3	50509	50360	0	0
uc021rqe.1	59	59	0	0
uc021rqf.1	62	62	0	0
uc010tmv.2	43983	43834	0	0
uc021rqg.1	55	55	0	0
uc001wez.2	42616	42467	0	0
uc001wfa.2	276	127	0	0
uc010ajx.1	43975	43826	0	0
uc001wfb.2	40068	39919	0	0
uc021rqh.1	39133	38984	0	0
uc001wfd.1	42015	41866	0	0
uc001wfe.3	42875	42726	0	0
uc001wfg.2	38390	38241	0	0
uc021rqi.1	56	56	0	0
uc001wfh.1	39653	39504	0	0
uc001wfi.2	34879	34730	0	0
uc001wfj.1	2388	2239	0	0
uc001wfk.3	38176	38027	0	0
uc001wfl.3	30236	30087	0	0
uc010ajy.2	36496	36347	0	0
uc001wfn.3	35888	35739	0	0
uc021rqj.1	61	61	0	0
uc001wfo.2	2030	1881	0	0
uc001wfp.3	33671	33522	0	0
uc021rqk.1	63	63	0	0
uc001wfq.2	30661	30512	0	0
uc001wfr.1	27327	27178	0	0
uc010ajz.1	27312	27163	0	0
uc021rql.1	65	65	0	0
uc001wfs.2	25699	25550	0	0
uc001wft.2	27035	26886	0	0
uc001wfu.3	21541	21392	0	0
uc001wfv.2	26312	26163	0	0
uc001wfw.1	24990	24841	0	0
uc021rqm.1	62	62	0	0
uc001wfx.3	25282	25133	0	0
uc001wfy.2	19228	19079	0	0
uc001wfz.1	18143	17994	0	0
uc021rqn.1	137	137	0	0
uc001wgb.3	1618	1469	0	0
uc001wgc.2	15829	15680	0	0
uc021rqo.1	15270	15121	0	0
uc001wge.4	18649	18500	0	0
uc021rqp.1	18640	18491	0	0
uc021rqq.1	59	59	0	0
uc010tmw.2	15103	14954	0	0
uc010tmx.2	16006	15857	0	0
uc010tmy.2	10150	10001	0	0
uc010akb.2	131	131	0	0
uc021rqr.1	6820	6671	0	0
uc001wgh.3	13080	12931	0	0
uc001wgi.2	7530	7381	0	0
uc001wgj.1	8463	8314	0	0
uc001wgk.3	8978	8829	4	4.17846
uc010tmz.1	6015	5866	0	0
uc010tna.1	11670	11521	0	0
uc001wgm.3	14119	13970	458	302.369
uc010tnb.2	14119	13970	458	302.369
uc010tnc.2	2101	1952	0	0
uc001wgn.2	5268	5119	2092.11	3769.36
uc001wgp.2	5038	4889	4605.89	8688.82
uc001wgw.4	5155	5006	63	116.069
uc001wgx.4	5155	5006	63	116.069
uc001wgy.4	5155	5006	63	116.069
uc001wgz.4	5155	5006	63	116.069
uc001wha.4	5155	5006	63	116.069
uc001whb.4	5155	5006	63	116.069
uc001whc.3	11011	10862	12	10.1892
uc001whd.3	6332	6183	1144.79	1707.63
uc001whe.3	5323	5174	4258.21	7590.47
uc010tnd.1	3621	3472	5.7037	15.1511
uc001whf.1	4458	4309	10.2963	22.038
uc021rqs.1	73	73	0	0
uc021rqt.1	73	73	0	0
uc010ake.1	1894	1745	0	0
uc001wiu.3	4983	4834	523.402	998.611
uc021rqv.1	423	274	420.333	14148.5
uc001wjg.4	4998	4849	0	0
uc001wjh.4	19424	19275	92.5751	44.2963
uc021rqx.1	4900	4751	0	0
uc001wji.4	4622	4473	1570.52	3238.26
uc001wjj.3	5149	5000	0	0
uc001wjk.3	5998	5849	1678.91	2647.36
uc001wjq.3	3595	3446	0	0
uc001wjr.3	3543	3394	0	0
uc001wjs.3	2965	2816	0	0
uc001wjt.3	2965	2816	0	0
uc001wju.3	2965	2816	0	0
uc010akm.3	2965	2816	0	0
uc010akn.3	2965	2816	0	0
uc010ako.3	2965	2816	0	0
uc001wjy.3	8505	8356	396	437.084
uc001wjz.3	8505	8356	396	437.084
uc031qnt.1	47822	47673	3.45502e-08	6.68415e-09
uc001wkb.5	46772	46623	44.6402	8.83068
uc001wkg.5	3593	3444	50.9575	136.462
uc001wkh.5	3593	3444	50.9575	136.462
uc010akr.4	3593	3444	50.9575	136.462
uc031qnu.1	3593	3444	50.9575	136.462
uc031qnv.1	3593	3444	50.9575	136.462
uc031qnw.1	3593	3444	50.9575	136.462
uc031qnx.1	3593	3444	50.9575	136.462
uc001wko.1	6977	6828	0	0
uc010aku.1	13105	12956	0	0
uc001wkt.4	9276	9127	28	28.2942
uc001wku.4	9276	9127	28	28.2942
uc010akv.3	9276	9127	28	28.2942
uc010aky.2	14368	14219	0	0
uc001wla.3	15524	15375	287.815	172.65
uc001wlb.3	15524	15375	287.815	172.65
uc010akz.3	15524	15375	287.815	172.65
uc001wlc.4	52653	52504	0	0
uc001wld.4	52653	52504	0	0
uc001wle.4	52653	52504	0	0
uc001wlf.3	14450	14301	0	0
uc021rra.1	20817	20668	0	0
uc021rrb.1	36535	36386	0	0
uc021rrc.1	36535	36386	0	0
uc031qnz.1	36535	36386	0	0
uc021rrd.2	81504	81355	0	0
uc021rre.1	36394	36245	0	0
uc010tnt.2	15937	15788	0	0
uc001wli.4	17591	17442	392.464	207.525
uc021rrf.1	59994	59845	18.7647	2.89188
uc010alb.3	11377	11228	0	0
uc031qoa.1	44369	44220	0	0
uc031qob.1	44369	44220	0	0
uc031qoc.1	44369	44220	0	0
uc010tnu.3	14966	14817	1.08237	0.673726
uc021rrg.2	14966	14817	1.08237	0.673726
uc021rrh.2	14966	14817	1.08237	0.673726
uc021rri.2	14966	14817	1.08237	0.673726
uc021rrj.2	14966	14817	1.08237	0.673726
uc001wlj.2	17732	17583	24	12.5888
uc001wlk.2	7810	7661	0	0
uc010tnv.2	7251	7102	0	0
uc001wlm.3	7139	6990	0	0
uc001wll.3	6561	6412	0	0
uc001wls.3	6288	6139	0	0
uc001wlt.3	9857	9708	159.883	151.894
uc010tnw.2	9857	9708	159.883	151.894
uc010ald.2	5991	5842	455.204	718.641
uc010ale.2	5991	5842	455.204	718.641
uc001wlu.4	9818	9669	1458.9	1391.59
uc010tnx.2	9818	9669	1458.9	1391.59
uc001wlv.3	10546	10397	127.911	113.466
uc001wlw.3	10466	10317	160.775	143.725
uc001wly.3	10466	10317	160.775	143.725
uc001wlz.3	10466	10317	160.775	143.725
uc001wmc.3	9960	9811	328.859	309.146
uc010tny.2	9960	9811	328.859	309.146
uc001wma.4	9958	9809	398.488	374.678
uc001wmb.4	9958	9809	398.488	374.678
uc001wmf.2	1384	1235	18	134.423
uc001wmg.3	2799	2650	1165	4054.6
uc001wmh.3	2799	2650	1165	4054.6
uc031qod.1	994	845	0	0
uc001wml.1	14452	14303	238.071	153.514
uc001wmm.1	8063	7914	663.049	772.711
uc001wmn.1	13889	13740	0.29702	0.199373
uc010alg.1	13363	13214	453.745	316.698
uc001wmo.1	10338	10189	0	0
uc001wmp.3	15435	15286	0	0
uc010alh.1	5736	5587	0	0
uc001wmq.3	6046	5897	231.055	361.37
uc010alj.3	3600	3451	142.784	381.594
uc001wmr.3	8230	8081	25	28.5327
uc001wms.3	8230	8081	25	28.5327
uc001wne.3	2552	2403	0.00215404	0.00826739
uc001wnf.3	2552	2403	0.00215404	0.00826739
uc001wng.3	2529	2380	18.5273	71.7966
uc001wnh.3	2529	2380	18.5273	71.7966
uc001wnq.1	1392	1243	135.511	1005.47
uc001wnu.2	6798	6649	97.4192	135.131
uc001wnr.3	6800	6651	73.3847	101.762
uc001wns.3	6800	6651	73.3847	101.762
uc001wnv.3	6800	6651	73.3847	101.762
uc010alk.2	6343	6194	1.91645e-05	2.8536e-05
uc001wnw.3	6345	6196	1.41391e-05	2.10463e-05
uc001wnx.3	6345	6196	1.41391e-05	2.10463e-05
uc010all.3	6345	6196	1.41391e-05	2.10463e-05
uc010toe.1	6021	5872	784.916	1232.83
uc021rro.1	27626	27477	41.6206	13.9703
uc001wol.1	5277	5128	766.849	1379.21
uc001wom.1	2114	1965	368.151	1727.95
uc001wor.3	1903	1754	21.5515	113.322
uc010alo.3	1903	1754	21.5515	113.322
uc021rrp.1	1077	928	5.98646e-08	5.94963e-07
uc001wos.3	6538	6389	465.599	672.12
uc010alp.3	4930	4781	122.749	236.792
uc001wou.3	3337	3188	6.31818	18.2785
uc021rrq.1	1059	910	96.5165	978.2
uc010alr.3	12666	12517	0	0
uc010tok.2	12666	12517	0	0
uc010tol.2	12666	12517	0	0
uc010als.2	7207	7058	27.2048	35.5494
uc010tom.2	12345	12196	0	0
uc010ton.2	12345	12196	0	0
uc010too.2	12345	12196	0	0
uc010alt.3	12096	11947	0	0
uc010top.2	12096	11947	0	0
uc010toq.2	12096	11947	0	0
uc010alu.3	6688	6539	4.2658	6.01667
uc001wpc.3	11585	11436	0	0
uc010tor.2	11585	11436	0	0
uc010tos.2	10509	10360	9.5391e-08	8.4921e-08
uc010alv.3	10452	10303	1.72422e-05	1.54346e-05
uc010tot.2	10452	10303	1.72422e-05	1.54346e-05
uc010tou.2	10452	10303	1.72422e-05	1.54346e-05
uc010tov.2	10452	10303	1.72422e-05	1.54346e-05
uc010tow.2	10452	10303	1.72422e-05	1.54346e-05
uc010tox.2	10452	10303	1.72422e-05	1.54346e-05
uc001wpd.3	6790	6641	0.142797	0.198314
uc010toy.2	6790	6641	0.142797	0.198314
uc010toz.2	6790	6641	0.142797	0.198314
uc010tpa.2	5910	5761	23.0504	36.9019
uc010tpb.2	5910	5761	23.0504	36.9019
uc001wpf.4	20503	20354	62	28.0937
uc010tpc.2	12056	11907	0	0
uc001wph.4	11407	11258	335.685	275.004
uc010alw.3	11388	11239	1648	1352.38
uc001wpo.1	59226	59077	3.00936	0.469811
uc021rrs.1	84	84	0	0
uc001wqc.3	27049	26900	0	0
uc021rrt.1	27049	26900	0	0
uc021rru.1	22	22	0	0
uc001wqe.4	3206	3057	0	0
uc010tpd.3	5857	5708	0	0
uc001wqf.3	22091	21942	0	0
uc021rrw.1	103	103	0	0
uc010tpe.1	48947	48798	86.567	16.3613
uc001wqk.2	60718	60569	8.95726	1.36393
uc010tpf.1	60718	60569	8.95726	1.36393
uc001wql.1	8539	8390	44.5185	48.938
uc010amd.2	93724	93575	106.103	10.4577
uc001wqm.2	113574	113425	34.9286	2.84014
uc001wqn.2	113574	113425	34.9286	2.84014
uc010amf.2	113574	113425	34.9286	2.84014
uc010tpg.2	113574	113425	34.9286	2.84014
uc010tph.2	113574	113425	34.9286	2.84014
uc010tpi.2	113509	113360	59.9367	4.87641
uc001wqp.2	16082	15933	0	0
uc001wqr.2	16082	15933	0	0
uc001wqq.4	20521	20372	2.97625	1.34742
uc001wqt.1	10165	10016	0	0
uc021rry.1	71345	71196	0.727641	0.0942604
uc001wqw.4	60333	60184	0	0
uc001wqx.4	60333	60184	0	0
uc010amh.3	60333	60184	0	0
uc001wqy.4	70981	70832	90.969	11.8449
uc021rrz.1	69808	69659	0	0
uc001wri.3	32126	31977	52.9042	15.2588
uc001wrk.4	299839	299690	82.169	2.52874
uc010amj.3	299839	299690	82.169	2.52874
uc010tpl.2	283308	283159	0	0
uc021rsb.1	146655	146506	193.157	12.1597
uc001wrl.3	82746	82597	11.0243	1.23099
uc001wrm.3	82440	82291	363.741	40.7669
uc001wrn.3	82440	82291	363.741	40.7669
uc001wro.3	82440	82291	363.741	40.7669
uc001wrp.3	82440	82291	363.741	40.7669
uc021rsd.1	79	79	0	0
uc010aml.3	405341	405192	0	0
uc001wrq.3	503790	503641	95.1424	1.74229
uc021rse.1	21	21	0	0
uc001wrr.3	1481	1332	0	0
uc001wrs.3	864924	864775	1.00032	0.0106685
uc001wrt.3	864924	864775	1.00032	0.0106685
uc001wru.3	864924	864775	1.00032	0.0106685
uc001wrv.3	864924	864775	1.00032	0.0106685
uc001wrw.3	465861	465712	0	0
uc010tpo.2	575	426	24	519.6
uc001wso.3	46670	46521	448.667	88.9493
uc010tpp.2	46670	46521	448.667	88.9493
uc010tpq.2	46670	46521	448.667	88.9493
uc001wsp.3	38477	38328	342.987	82.5332
uc001wsq.3	36980	36831	4.33396	1.08527
uc001wsv.1	11051	10902	0	0
uc001wsy.2	151971	151822	90.1724	5.47781
uc001wsz.2	151971	151822	90.1724	5.47781
uc010tps.2	151971	151822	90.1724	5.47781
uc001wta.4	195156	195007	1145.01	54.1537
uc001wtc.2	151740	151591	0.192828	0.0117318
uc031qof.1	151740	151591	0.192828	0.0117318
uc001wtd.3	25109	24960	237.222	87.6552
uc010tpt.2	25109	24960	237.222	87.6552
uc010tpu.2	25026	24877	0	0
uc001wth.1	3013	2864	2	6.44058
uc010tpx.1	37563	37414	0	0
uc001wtl.3	45573	45424	149.245	30.3027
uc031qog.1	94862	94713	0	0
uc001wtp.3	1207	1058	0	0
uc001wtw.1	3202	3053	6.04315	18.2559
uc001wty.4	20239	20090	376.762	172.964
uc010amq.3	11814	11665	29.238	23.1169
uc021rsh.2	1768	1619	25.8915	147.496
uc010amr.2	309872	309723	0	0
uc001wub.4	348144	347995	0	0
uc001wuc.3	353347	353198	25.4194	0.663767
uc001wud.3	353347	353198	25.4194	0.663767
uc001wue.3	353347	353198	25.4194	0.663767
uc010ams.3	353347	353198	25.4194	0.663767
uc010amt.3	353347	353198	25.4194	0.663767
uc001wug.3	430192	430043	46.7684	1.00302
uc001wuh.3	70073	69924	0	0
uc001wui.3	47186	47037	0	0
uc001wuj.3	47186	47037	0	0
uc001wul.1	5065	4916	0	0
uc021rsi.1	1176	1027	0	0
uc001wuq.3	22690	22541	36.5	14.9344
uc001wur.3	22690	22541	36.5	14.9344
uc001wus.3	22690	22541	36.5	14.9344
uc010amx.3	22690	22541	36.5	14.9344
uc001wuw.4	8036	7887	2835	3315.19
uc010amy.2	14283	14134	0	0
uc001wux.3	19451	19302	0	0
uc010tqe.1	80755	80606	0	0
uc001wuy.4	85922	85773	0.000589264	6.33618e-05
uc001wuz.4	85922	85773	0.000589264	6.33618e-05
uc001wva.4	84896	84747	49.3689	5.37275
uc001wvb.4	84896	84747	49.3689	5.37275
uc001wvc.4	84896	84747	49.3689	5.37275
uc001wve.1	41914	41765	0	0
uc001wvf.4	84070	83921	0.781455	0.0858818
uc001wvg.4	84070	83921	0.781455	0.0858818
uc001wvh.4	84070	83921	0.781455	0.0858818
uc001wvi.4	84070	83921	0.781455	0.0858818
uc010amz.3	84070	83921	0.781455	0.0858818
uc001wvj.4	74968	74819	0	0
uc001wvl.1	21155	21006	2	0.878121
uc021rsk.1	129	129	0	0
uc001wvm.3	296989	296840	0	0
uc010ana.3	205123	204974	0	0
uc001wvo.3	9954	9805	0	0
uc001wvp.1	6843	6694	2	2.75557
uc010anb.1	35192	35043	49.1454	12.9345
uc001wvu.3	45931	45782	28.9872	5.83955
uc001wvv.3	112219	112070	56.3551	4.6378
uc001wvw.3	112219	112070	56.3551	4.6378
uc010anc.3	112219	112070	56.3551	4.6378
uc001wvy.4	31503	31354	140.639	41.3696
uc001wvz.4	31503	31354	140.639	41.3696
uc010and.3	31503	31354	140.639	41.3696
uc001wwa.1	5865	5716	128.082	206.664
uc010ane.3	99	99	0	0
uc001wwc.2	31491	31342	38.1056	11.2132
uc001wwd.4	64958	64809	119.825	17.0522
uc010anf.3	64958	64809	119.825	17.0522
uc001wwe.4	46194	46045	0	0
uc010ang.3	25820	25671	0.244448	0.0878237
uc031qoi.1	437743	437594	0	0
uc031qoj.1	437743	437594	0	0
uc031qok.1	30543	30394	0.5	0.151722
uc031qol.1	30543	30394	0.5	0.151722
uc021rsl.1	124	124	0	0
uc021rsp.1	301	152	1635.81	99256.3
uc001wwn.3	15976	15827	198.91	115.912
uc001wwo.3	15976	15827	198.91	115.912
uc001wwp.3	15976	15827	198.91	115.912
uc010ank.3	15976	15827	198.91	115.912
uc001wwr.3	2711	2562	864.866	3113.42
uc001www.3	60048	59899	0	0
uc010tqg.2	60048	59899	0	0
uc010tqh.2	60048	59899	0	0
uc001wwx.3	15070	14921	1141.75	705.734
uc001wxg.4	4037	3888	504.144	1195.9
uc021rsu.1	528	379	927.856	22579.2
uc001wxv.3	10697	10548	34.202	29.9054
uc001wxw.2	13900	13751	0	0
uc001wxx.2	13900	13751	0	0
uc021rsv.1	13900	13751	0	0
uc010ant.2	16325	16176	261.795	149.265
uc001wyd.4	99985	99836	25.9382	2.39618
uc001wye.4	73042	72893	2.03226	0.257135
uc001wyf.4	73042	72893	2.03226	0.257135
uc021rsw.1	73042	72893	2.03226	0.257135
uc021rsx.1	72940	72791	0	0
uc021rsz.1	88	88	0	0
uc001wyq.3	32811	32662	5.5	1.55306
uc001wyr.3	32811	32662	5.5	1.55306
uc001wys.3	32811	32662	5.5	1.55306
uc010any.3	32811	32662	5.5	1.55306
uc010tqr.1	5684	5535	243.104	405.081
uc001wza.4	17487	17338	309.948	164.876
uc010aoa.3	17487	17338	309.948	164.876
uc021rta.1	32165	32016	0	0
uc001wzb.4	241606	241457	15.6332	0.597138
uc021rtb.1	104	104	0	0
uc001wzc.3	78869	78720	3.40818	0.399305
uc001wzd.3	78869	78720	3.40818	0.399305
uc001wze.3	32614	32465	17.1028	4.8587
uc001wzf.3	17081	16932	0	0
uc001wzg.3	13444	13295	43.9841	30.5123
uc021rtd.1	107	107	0	0
uc001wzh.3	122567	122418	0	0
uc010aoc.2	106993	106844	0	0
uc001wzi.3	109497	109348	0	0
uc001wzj.3	109497	109348	0	0
uc021rte.1	109497	109348	0	0
uc001wzk.3	92209	92060	0	0
uc010aod.3	15193	15044	851	521.716
uc001wzq.3	9012	8863	0	0
uc001wzr.3	14307	14158	0	0
uc001wzt.4	84566	84417	51.6517	5.64316
uc001wzu.4	84566	84417	51.6517	5.64316
uc010tqv.2	3158	3009	40.297	123.515
uc010tqw.2	11511	11362	7.4003e-05	6.00706e-05
uc010tqx.2	20821	20672	80.4001	35.8709
uc001wzy.3	6499	6350	21.3314	30.9823
uc001xaa.3	44823	44674	172.722	35.6583
uc010tqy.2	44823	44674	172.722	35.6583
uc001xap.3	23262	23113	11.7964	4.70716
uc001xar.3	23262	23113	11.7964	4.70716
uc010aoi.1	8896	8747	0	0
uc010aoj.2	20323	20174	417.838	191.022
uc010tra.1	27968	27819	0	0
uc001xay.3	28748	28599	80	25.7992
uc001xba.3	136260	136111	0	0
uc001xbb.4	225704	225555	86.8278	3.55037
uc001xbc.3	225704	225555	86.8278	3.55037
uc001xbe.3	15875	15726	133.892	78.5246
uc001xbf.2	47153	47004	0	0
uc001xbg.2	38528	38379	797.452	191.637
uc021rtg.1	116	116	0	0
uc001xbo.3	22363	22214	152.563	63.3417
uc001xbp.3	22363	22214	152.563	63.3417
uc021rti.1	1323	1174	189.874	1491.65
uc001xbq.1	18551	18402	2472.1	1238.99
uc001xbr.3	16214	16065	803.5	461.289
uc021rtj.1	16214	16065	803.5	461.289
uc001xbu.3	82309	82160	186.876	20.9779
uc010aoo.3	81458	81309	0	0
uc021rtk.1	2136	1987	1243.06	5769.79
uc001xbv.3	75927	75778	705.591	85.8771
uc001xcb.3	104378	104229	1080.7	95.6282
uc001xcc.3	104378	104229	1080.7	95.6282
uc001xcd.3	104378	104229	1080.7	95.6282
uc001xce.3	104378	104229	1080.7	95.6282
uc001xcf.2	104378	104229	1080.7	95.6282
uc010trb.2	104378	104229	1080.7	95.6282
uc010aoq.3	40310	40161	0	0
uc010trc.2	23311	23162	0	0
uc001xcg.3	21242	21093	386.754	169.108
uc031qoq.1	2520	2371	265.023	1030.91
uc010aos.3	1473	1324	0	0
uc001xch.3	182939	182790	2	0.100913
uc001xci.3	36959	36810	0	0
uc001xcj.3	69895	69746	2.65968	0.351704
uc001xck.3	34105	33956	12.9509	3.51763
uc010aot.1	36472	36323	66.6641	16.9269
